,sno,sna,tot,sbi,sarea,mday,ar,bemp,act
406,500105070,YouBike2.0_師大公館校區學二舍,40,1,文山區,2023-05-27 13:46:15,臺灣師範大學學二舍西側人行道,37,1
408,500105072,YouBike2.0_萬興國小,16,1,文山區,2023-05-27 13:05:05,秀明路二段114號公車亭旁,15,1
409,500105073,YouBike2.0_辛亥路四段77巷口,14,2,文山區,2023-05-27 13:42:14,辛亥路四段77巷口,12,1
410,500105074,YouBike2.0_景興路42巷口,12,2,文山區,2023-05-27 13:46:15,景興路42巷與景興路口西南側,10,1
412,500105076,YouBike2.0_木柵路二段109巷,15,1,文山區,2023-05-27 12:30:33,木柵路二段109巷14號旁,14,1
414,500105080,YouBike2.0_萬美萬安街口,16,0,文山區,2023-05-27 13:11:04,萬美街一段/萬安街口,16,1
416,500105082,YouBike2.0_新光秀明路口,15,0,文山區,2023-05-27 13:32:04,新光路一段145號前,14,1
419,500106003,YouBike2.0_捷運公館站(1號出口),12,2,中正區,2023-05-27 13:44:17,羅斯福路四段68號,10,1
420,500106004,YouBike2.0_捷運公館站(4號出口),12,1,中正區,2023-05-27 13:42:14,羅斯福路四段48號,11,1
424,500106008,YouBike2.0_客家文化主題公園,15,2,中正區,2023-05-27 13:44:17,師大路/金門街11巷口對側人行道,13,1
425,500106009,YouBike2.0_河堤國小,27,0,中正區,2023-05-27 13:45:05,汀洲路二段182巷內186號旁,26,1
429,500106013,YouBike2.0_羅斯福三段金門街口,15,1,中正區,2023-05-27 13:37:14,羅斯福路三段2號前,13,1
432,500106016,YouBike2.0_捷運古亭站(7號出口),12,2,中正區,2023-05-27 13:42:14,羅斯福路二段44號前方,9,1
436,500106020,YouBike2.0_羅斯福路二段6巷口,14,3,中正區,2023-05-27 13:41:16,羅斯福路二段/羅斯福路二段6巷口,11,1
437,500106021,YouBike2.0_金華杭州南路口,21,0,中正區,2023-05-27 13:38:03,金華街口/杭州南路二段西北側,21,1
441,500106025,YouBike2.0_螢橋國小,32,3,中正區,2023-05-27 13:45:15,泉州街32號對面人行道,29,1
444,500106028,YouBike2.0_中華路二段409巷口,15,2,中正區,2023-05-27 13:35:14,中華路二段403號前,13,1
446,500106030,YouBike2.0_南海和平路口西南側,19,1,中正區,2023-05-27 13:38:14,南海路與和平西路二段西南側,18,1
447,500106031,YouBike2.0_莒光和平路口,20,0,中正區,2023-05-27 13:41:04,莒光路2號前,20,1
