,編號,名稱,車輛數,可借,行政區,日期,地址,可還,狀態
1228,500119006,YouBike2.0_臺大卓越研究大樓,32,2,臺大專區,2023-05-27 15:42:14,臺大水源舍區C南側,27,1
1230,500119008,YouBike2.0_臺大檔案展示館,10,2,臺大專區,2023-05-27 13:57:15,臺大檔案展示館東北側,7,1
1232,500119043,YouBike2.0_臺大男八舍東側,42,1,臺大專區,2023-05-27 15:44:04,臺大男八舍東側,41,1
1233,500119044,YouBike2.0_臺大禮賢樓東南側,23,2,臺大專區,2023-05-27 15:48:15,臺大仰萃樓東南側,21,1
1234,500119045,YouBike2.0_臺大農業陳列館北側,45,4,臺大專區,2023-05-27 15:48:15,農業陳列館北側,40,1
1237,500119048,YouBike2.0_臺大大一女舍北側,53,1,臺大專區,2023-05-27 15:48:15,臺大女一舍北側,52,1
1240,500119051,YouBike2.0_臺大立體機車停車場,27,2,臺大專區,2023-05-27 15:35:15,基隆路三段/基隆路三段156巷口北側,25,1
1244,500119055,YouBike2.0_臺大樂學館東側,28,1,臺大專區,2023-05-27 15:48:15,臺大文學院西側,27,1
1245,500119056,YouBike2.0_臺大農化新館西側,10,1,臺大專區,2023-05-27 15:49:15,臺大生化科技學系西側,8,1
1246,500119057,YouBike2.0_臺大五號館西側,20,1,臺大專區,2023-05-27 15:49:15,臺大生物系館西側,18,1
1249,500119060,YouBike2.0_臺大共同教室東南側,12,4,臺大專區,2023-05-27 15:45:16,臺大共同教學館東南側,7,1
1251,500119062,YouBike2.0_臺大公館停車場西北側,12,1,臺大專區,2023-05-27 13:34:04,臺大公館停車場西北側,11,1
1252,500119063,YouBike2.0_臺大第二行政大樓南側,27,0,臺大專區,2023-05-27 15:19:04,臺大行政大樓西側,27,1
1254,500119065,YouBike2.0_臺大二號館,10,1,臺大專區,2023-05-27 15:32:14,臺大物理文物廳北側,9,1
1256,500119067,YouBike2.0_臺大社科院西側,42,6,臺大專區,2023-05-27 15:49:15,臺大社科院西側,35,1
1259,500119070,YouBike2.0_臺大椰林小舖,48,1,臺大專區,2023-05-27 15:48:04,臺大椰林小舖旁,46,1
1266,500119078,YouBike2.0_臺大森林館北側,10,4,臺大專區,2023-05-27 15:44:15,臺大森林系學系北側,6,1
1267,500119079,YouBike2.0_臺大一號館,19,4,臺大專區,2023-05-27 15:43:16,臺大植物魚類標本館一號館北側,15,1
1268,500119080,YouBike2.0_臺大小小福西南側,10,0,臺大專區,2023-05-27 13:55:12,臺大進修教育大樓,10,1
1269,500119081,YouBike2.0_臺大教研館北側,11,6,臺大專區,2023-05-27 15:47:14,臺大雅頌廣場東南側,5,1
1270,500119082,YouBike2.0_臺大四號館東北側,10,0,臺大專區,2023-05-27 15:48:04,臺大園藝暨景觀學系北側,10,1
1272,500119084,YouBike2.0_臺大鄭江樓北側,10,4,臺大專區,2023-05-27 15:46:15,臺大新聞研究所南側,6,1
1273,500119085,YouBike2.0_臺大電機二館東南側,14,2,臺大專區,2023-05-27 15:49:15,臺大電機二館南側,12,1
1279,500119091,YouBike2.0_臺大明達館北側(員工宿舍),18,5,臺大公館校區,2023-05-27 15:37:14,明達館北側前空地,13,1
